PosX;PosY;Count
-0.240;-0.010;1.000
-0.230;0.000;3.000
-0.220;-0.010;1.000
-0.210;-0.010;2.000
-0.210;0.000;2.000
-0.210;0.070;1.000
-0.210;0.080;6.000
-0.200;-0.090;1.000
-0.200;0.080;11.000
-0.200;0.090;1.000
-0.200;0.100;5.000
-0.190;-0.100;2.000
-0.190;-0.090;1.000
-0.190;-0.080;1.000
-0.190;-0.050;2.000
-0.190;-0.020;1.000
-0.190;0.020;1.000
-0.190;0.030;1.000
-0.190;0.040;4.000
-0.190;0.060;1.000
-0.190;0.070;1.000
-0.190;0.080;2.000
-0.190;0.090;6.000
-0.190;0.100;2.000
-0.190;0.110;2.000
-0.190;0.160;2.000
-0.180;-0.060;2.000
-0.180;-0.050;1.000
-0.180;-0.040;3.000
-0.180;-0.030;1.000
-0.180;0.010;9.000
-0.180;0.020;6.000
-0.180;0.030;9.000
-0.180;0.040;4.000
-0.180;0.050;6.000
-0.180;0.060;2.000
-0.180;0.070;2.000
-0.180;0.080;4.000
-0.180;0.090;2.000
-0.180;0.100;2.000
-0.180;0.110;1.000
-0.180;0.150;1.000
-0.180;0.160;1.000
-0.180;0.170;1.000
-0.170;-0.120;3.000
-0.170;-0.110;3.000
-0.170;-0.080;1.000
-0.170;-0.070;1.000
-0.170;-0.060;2.000
-0.170;-0.050;1.000
-0.170;-0.030;1.000
-0.170;0.010;2.000
-0.170;0.020;3.000
-0.170;0.030;3.000
-0.170;0.040;9.000
-0.170;0.050;11.000
-0.170;0.060;8.000
-0.170;0.070;1.000
-0.170;0.100;2.000
-0.170;0.120;1.000
-0.170;0.130;1.000
-0.170;0.140;7.000
-0.170;0.150;1.000
-0.170;0.160;1.000
-0.160;-0.120;13.000
-0.160;-0.110;4.000
-0.160;-0.100;2.000
-0.160;-0.090;6.000
-0.160;-0.080;7.000
-0.160;-0.070;4.000
-0.160;-0.060;5.000
-0.160;-0.050;4.000
-0.160;-0.040;2.000
-0.160;-0.010;2.000
-0.160;0.000;4.000
-0.160;0.010;6.000
-0.160;0.020;10.000
-0.160;0.030;26.000
-0.160;0.040;21.000
-0.160;0.050;3.000
-0.160;0.060;5.000
-0.160;0.070;5.000
-0.160;0.080;5.000
-0.160;0.090;1.000
-0.160;0.110;5.000
-0.160;0.120;3.000
-0.160;0.130;1.000
-0.160;0.140;2.000
-0.150;-0.160;5.000
-0.150;-0.140;1.000
-0.150;-0.130;2.000
-0.150;-0.120;11.000
-0.150;-0.110;15.000
-0.150;-0.100;16.000
-0.150;-0.090;2.000
-0.150;-0.080;9.000
-0.150;-0.070;5.000
-0.150;-0.060;4.000
-0.150;-0.050;12.000
-0.150;-0.040;13.000
-0.150;-0.030;3.000
-0.150;-0.020;6.000
-0.150;-0.010;5.000
-0.150;0.000;27.000
-0.150;0.010;9.000
-0.150;0.020;40.000
-0.150;0.030;7.000
-0.150;0.040;8.000
-0.150;0.050;15.000
-0.150;0.060;11.000
-0.150;0.070;12.000
-0.150;0.080;15.000
-0.150;0.090;14.000
-0.150;0.100;10.000
-0.150;0.110;4.000
-0.150;0.120;3.000
-0.140;-0.150;2.000
-0.140;-0.140;11.000
-0.140;-0.130;10.000
-0.140;-0.120;14.000
-0.140;-0.110;14.000
-0.140;-0.100;5.000
-0.140;-0.090;10.000
-0.140;-0.080;8.000
-0.140;-0.070;14.000
-0.140;-0.060;10.000
-0.140;-0.050;16.000
-0.140;-0.040;19.000
-0.140;-0.030;10.000
-0.140;-0.020;9.000
-0.140;-0.010;18.000
-0.140;0.000;12.000
-0.140;0.010;15.000
-0.140;0.020;34.000
-0.140;0.030;20.000
-0.140;0.040;14.000
-0.140;0.050;15.000
-0.140;0.060;23.000
-0.140;0.070;12.000
-0.140;0.080;16.000
-0.140;0.090;19.000
-0.140;0.100;53.000
-0.140;0.110;21.000
-0.140;0.120;7.000
-0.140;0.130;5.000
-0.140;0.160;2.000
-0.130;-0.150;7.000
-0.130;-0.140;7.000
-0.130;-0.130;6.000
-0.130;-0.120;10.000
-0.130;-0.110;8.000
-0.130;-0.100;34.000
-0.130;-0.090;8.000
-0.130;-0.080;13.000
-0.130;-0.070;12.000
-0.130;-0.060;15.000
-0.130;-0.050;61.000
-0.130;-0.040;17.000
-0.130;-0.030;15.000
-0.130;-0.020;12.000
-0.130;-0.010;15.000
-0.130;0.000;13.000
-0.130;0.010;23.000
-0.130;0.020;34.000
-0.130;0.030;6.000
-0.130;0.040;13.000
-0.130;0.050;19.000
-0.130;0.060;22.000
-0.130;0.070;11.000
-0.130;0.080;13.000
-0.130;0.090;10.000
-0.130;0.100;60.000
-0.130;0.110;19.000
-0.130;0.120;12.000
-0.130;0.130;5.000
-0.130;0.140;1.000
-0.130;0.150;1.000
-0.120;-0.170;1.000
-0.120;-0.160;1.000
-0.120;-0.150;10.000
-0.120;-0.140;4.000
-0.120;-0.130;8.000
-0.120;-0.120;12.000
-0.120;-0.110;8.000
-0.120;-0.100;8.000
-0.120;-0.090;32.000
-0.120;-0.080;18.000
-0.120;-0.070;9.000
-0.120;-0.060;19.000
-0.120;-0.050;45.000
-0.120;-0.040;13.000
-0.120;-0.030;9.000
-0.120;-0.020;15.000
-0.120;-0.010;15.000
-0.120;0.000;5.000
-0.120;0.010;20.000
-0.120;0.020;10.000
-0.120;0.030;9.000
-0.120;0.040;21.000
-0.120;0.050;114.000
-0.120;0.060;25.000
-0.120;0.070;13.000
-0.120;0.080;12.000
-0.120;0.090;20.000
-0.120;0.100;23.000
-0.120;0.110;18.000
-0.120;0.120;19.000
-0.120;0.130;5.000
-0.120;0.140;2.000
-0.120;0.150;15.000
-0.110;-0.180;1.000
-0.110;-0.160;3.000
-0.110;-0.150;5.000
-0.110;-0.140;5.000
-0.110;-0.130;6.000
-0.110;-0.120;11.000
-0.110;-0.110;14.000
-0.110;-0.100;10.000
-0.110;-0.090;26.000
-0.110;-0.080;26.000
-0.110;-0.070;14.000
-0.110;-0.060;7.000
-0.110;-0.050;7.000
-0.110;-0.040;16.000
-0.110;-0.030;17.000
-0.110;-0.020;8.000
-0.110;-0.010;15.000
-0.110;0.000;15.000
-0.110;0.010;10.000
-0.110;0.020;114.000
-0.110;0.030;21.000
-0.110;0.040;9.000
-0.110;0.050;23.000
-0.110;0.060;29.000
-0.110;0.070;17.000
-0.110;0.080;25.000
-0.110;0.090;9.000
-0.110;0.100;13.000
-0.110;0.110;11.000
-0.110;0.120;9.000
-0.110;0.130;5.000
-0.110;0.140;3.000
-0.110;0.150;4.000
-0.100;-0.180;3.000
-0.100;-0.170;4.000
-0.100;-0.160;10.000
-0.100;-0.150;8.000
-0.100;-0.140;6.000
-0.100;-0.130;5.000
-0.100;-0.120;3.000
-0.100;-0.110;14.000
-0.100;-0.100;14.000
-0.100;-0.090;24.000
-0.100;-0.080;11.000
-0.100;-0.070;11.000
-0.100;-0.060;13.000
-0.100;-0.050;9.000
-0.100;-0.040;42.000
-0.100;-0.030;17.000
-0.100;-0.020;4.000
-0.100;-0.010;7.000
-0.100;0.000;6.000
-0.100;0.010;14.000
-0.100;0.020;15.000
-0.100;0.030;14.000
-0.100;0.040;5.000
-0.100;0.050;26.000
-0.100;0.060;18.000
-0.100;0.070;9.000
-0.100;0.080;19.000
-0.100;0.090;15.000
-0.100;0.100;20.000
-0.100;0.110;17.000
-0.100;0.120;8.000
-0.100;0.130;9.000
-0.100;0.140;1.000
-0.100;0.160;1.000
-0.100;0.170;1.000
-0.100;0.180;1.000
-0.090;-0.170;1.000
-0.090;-0.160;5.000
-0.090;-0.150;12.000
-0.090;-0.140;18.000
-0.090;-0.130;14.000
-0.090;-0.120;5.000
-0.090;-0.110;14.000
-0.090;-0.100;45.000
-0.090;-0.090;12.000
-0.090;-0.080;6.000
-0.090;-0.070;26.000
-0.090;-0.060;21.000
-0.090;-0.050;84.000
-0.090;-0.040;30.000
-0.090;-0.030;8.000
-0.090;-0.020;11.000
-0.090;-0.010;11.000
-0.090;0.000;10.000
-0.090;0.010;11.000
-0.090;0.020;12.000
-0.090;0.030;13.000
-0.090;0.040;8.000
-0.090;0.050;10.000
-0.090;0.060;8.000
-0.090;0.070;15.000
-0.090;0.080;12.000
-0.090;0.090;13.000
-0.090;0.100;16.000
-0.090;0.110;10.000
-0.090;0.120;20.000
-0.090;0.130;21.000
-0.090;0.140;2.000
-0.090;0.150;6.000
-0.090;0.170;1.000
-0.090;0.180;1.000
-0.080;-0.190;2.000
-0.080;-0.170;8.000
-0.080;-0.160;14.000
-0.080;-0.150;10.000
-0.080;-0.140;21.000
-0.080;-0.130;44.000
-0.080;-0.120;14.000
-0.080;-0.110;8.000
-0.080;-0.100;17.000
-0.080;-0.090;17.000
-0.080;-0.080;17.000
-0.080;-0.070;33.000
-0.080;-0.060;33.000
-0.080;-0.050;30.000
-0.080;-0.040;33.000
-0.080;-0.030;32.000
-0.080;-0.020;16.000
-0.080;-0.010;3.000
-0.080;0.000;2.000
-0.080;0.010;9.000
-0.080;0.020;10.000
-0.080;0.030;10.000
-0.080;0.040;6.000
-0.080;0.050;10.000
-0.080;0.060;11.000
-0.080;0.070;10.000
-0.080;0.080;8.000
-0.080;0.090;5.000
-0.080;0.100;19.000
-0.080;0.110;18.000
-0.080;0.120;19.000
-0.080;0.130;7.000
-0.080;0.140;2.000
