PosX;PosY;Count
-0.200;0.030;3.000
-0.200;0.040;6.000
-0.200;0.050;4.000
-0.190;-0.100;2.000
-0.190;-0.090;1.000
-0.190;-0.060;6.000
-0.190;0.000;4.000
-0.190;0.010;3.000
-0.190;0.020;10.000
-0.190;0.030;2.000
-0.190;0.050;4.000
-0.190;0.060;1.000
-0.190;0.070;3.000
-0.180;-0.100;1.000
-0.180;-0.070;1.000
-0.180;-0.060;24.000
-0.180;-0.050;7.000
-0.180;-0.040;8.000
-0.180;-0.020;1.000
-0.180;0.000;2.000
-0.180;0.010;10.000
-0.180;0.050;3.000
-0.180;0.060;5.000
-0.180;0.070;2.000
-0.180;0.080;1.000
-0.180;0.090;2.000
-0.180;0.100;8.000
-0.180;0.110;2.000
-0.180;0.120;1.000
-0.170;-0.130;9.000
-0.170;-0.120;3.000
-0.170;-0.100;1.000
-0.170;-0.090;4.000
-0.170;-0.060;6.000
-0.170;-0.050;4.000
-0.170;-0.040;5.000
-0.170;-0.030;10.000
-0.170;-0.020;3.000
-0.170;-0.010;1.000
-0.170;0.000;3.000
-0.170;0.010;5.000
-0.170;0.020;3.000
-0.170;0.030;4.000
-0.170;0.040;10.000
-0.170;0.050;1.000
-0.170;0.060;5.000
-0.170;0.070;8.000
-0.170;0.080;4.000
-0.170;0.090;16.000
-0.170;0.100;5.000
-0.170;0.110;3.000
-0.170;0.130;1.000
-0.170;0.150;8.000
-0.160;-0.130;5.000
-0.160;-0.120;2.000
-0.160;-0.110;5.000
-0.160;-0.100;5.000
-0.160;-0.070;2.000
-0.160;-0.060;9.000
-0.160;-0.050;4.000
-0.160;-0.040;6.000
-0.160;-0.030;7.000
-0.160;-0.020;3.000
-0.160;-0.010;2.000
-0.160;0.000;10.000
-0.160;0.010;13.000
-0.160;0.020;7.000
-0.160;0.030;5.000
-0.160;0.040;8.000
-0.160;0.050;12.000
-0.160;0.060;4.000
-0.160;0.070;5.000
-0.160;0.080;5.000
-0.160;0.090;2.000
-0.160;0.100;7.000
-0.160;0.110;14.000
-0.160;0.120;1.000
-0.160;0.140;2.000
-0.150;-0.150;1.000
-0.150;-0.140;2.000
-0.150;-0.130;2.000
-0.150;-0.120;11.000
-0.150;-0.110;7.000
-0.150;-0.100;16.000
-0.150;-0.090;11.000
-0.150;-0.080;9.000
-0.150;-0.070;6.000
-0.150;-0.060;29.000
-0.150;-0.050;3.000
-0.150;-0.040;16.000
-0.150;-0.030;6.000
-0.150;-0.020;12.000
-0.150;-0.010;6.000
-0.150;0.000;2.000
-0.150;0.010;5.000
-0.150;0.020;10.000
-0.150;0.030;12.000
-0.150;0.040;7.000
-0.150;0.050;12.000
-0.150;0.060;12.000
-0.150;0.070;10.000
-0.150;0.080;16.000
-0.150;0.090;7.000
-0.150;0.100;12.000
-0.150;0.110;14.000
-0.150;0.120;15.000
-0.150;0.130;8.000
-0.150;0.140;1.000
-0.150;0.150;4.000
-0.140;-0.160;1.000
-0.140;-0.130;4.000
-0.140;-0.120;7.000
-0.140;-0.110;7.000
-0.140;-0.100;16.000
-0.140;-0.090;35.000
-0.140;-0.080;9.000
-0.140;-0.070;14.000
-0.140;-0.060;8.000
-0.140;-0.050;11.000
-0.140;-0.040;21.000
-0.140;-0.030;16.000
-0.140;-0.020;7.000
-0.140;-0.010;3.000
-0.140;0.000;12.000
-0.140;0.010;5.000
-0.140;0.020;21.000
-0.140;0.030;23.000
-0.140;0.040;13.000
-0.140;0.050;20.000
-0.140;0.060;19.000
-0.140;0.070;22.000
-0.140;0.080;13.000
-0.140;0.090;4.000
-0.140;0.100;5.000
-0.140;0.110;20.000
-0.140;0.120;6.000
-0.140;0.130;12.000
-0.140;0.140;5.000
-0.140;0.150;6.000
-0.140;0.160;1.000
-0.130;-0.150;4.000
-0.130;-0.140;2.000
-0.130;-0.120;8.000
-0.130;-0.110;18.000
-0.130;-0.100;18.000
-0.130;-0.090;14.000
-0.130;-0.080;16.000
-0.130;-0.070;9.000
-0.130;-0.060;4.000
-0.130;-0.050;7.000
-0.130;-0.040;14.000
-0.130;-0.030;12.000
-0.130;-0.020;10.000
-0.130;-0.010;6.000
-0.130;0.000;17.000
-0.130;0.010;16.000
-0.130;0.020;27.000
-0.130;0.030;30.000
-0.130;0.040;31.000
-0.130;0.050;19.000
-0.130;0.060;27.000
-0.130;0.070;21.000
-0.130;0.080;22.000
-0.130;0.090;12.000
-0.130;0.100;13.000
-0.130;0.110;22.000
-0.130;0.120;17.000
-0.130;0.130;7.000
-0.130;0.140;3.000
-0.130;0.150;2.000
-0.130;0.160;17.000
-0.130;0.170;5.000
-0.130;0.190;3.000
-0.130;0.200;1.000
-0.120;-0.150;15.000
-0.120;-0.140;3.000
-0.120;-0.130;4.000
-0.120;-0.120;5.000
-0.120;-0.110;37.000
-0.120;-0.100;16.000
-0.120;-0.090;10.000
-0.120;-0.080;9.000
