Name, PositionX, PositionY, RunTime
TestPerson1;-0,06;-0,06;0,5058776
TestPerson1;-0,06;-0,06;1,009167
TestPerson1;-0,06;-0,06;1,50974
TestPerson1;-0,06;-0,06;2,010545
TestPerson1;-0,06;-0,06;2,517093
TestPerson1;-0,06;-0,05;3,041147
TestPerson1;-0,06;-0,05;3,541436
TestPerson1;-0,06;-0,05;4,043649
TestPerson1;-0,06;-0,06;4,547206
TestPerson1;-0,06;-0,06;5,048656
TestPerson1;-0,05;-0,06;5,55092
TestPerson1;-0,05;-0,06;6,062833
TestPerson1;-0,05;-0,06;6,579326
TestPerson1;-0,05;-0,06;7,099251
TestPerson1;-0,05;-0,06;7,609449
TestPerson1;-0,05;-0,06;8,11172
TestPerson1;-0,05;-0,06;8,613947
TestPerson1;-0,05;-0,05;9,127183
TestPerson1;-0,06;-0,05;9,643819
TestPerson1;-0,06;-0,05;10,17072
TestPerson1;-0,06;-0,05;10,67499
TestPerson1;-0,05;-0,05;11,20207
TestPerson1;-0,05;-0,06;11,71789
TestPerson1;-0,05;-0,06;12,2327
TestPerson1;-0,05;-0,06;12,73357
TestPerson1;-0,05;-0,05;13,2338
TestPerson1;-0,06;-0,05;13,73971
TestPerson1;-0,05;-0,05;14,24804
TestPerson1;-0,05;-0,05;14,7503
TestPerson1;-0,05;-0,05;15,27464
TestPerson1;-0,06;-0,05;15,77992
TestPerson1;-0,06;-0,05;16,28019
TestPerson1;-0,06;-0,05;16,78597
TestPerson1;-0,06;-0,05;17,29829
TestPerson1;-0,06;-0,05;17,79953
TestPerson1;-0,06;-0,05;18,31449
TestPerson1;-0,06;-0,06;18,8158
TestPerson1;-0,06;-0,06;19,3376
TestPerson1;-0,06;-0,06;19,84826
TestPerson1;-0,06;-0,06;20,36192
TestPerson1;-0,06;-0,06;20,86319
TestPerson1;-0,06;-0,06;21,37687
TestPerson1;-0,06;-0,06;21,88019
TestPerson1;-0,06;-0,06;22,40608
TestPerson1;-0,06;-0,06;22,92558
TestPerson1;-0,06;-0,06;23,43739
TestPerson1;-0,06;-0,06;23,94212
TestPerson1;-0,06;-0,06;24,46847
TestPerson1;-0,06;-0,06;24,97331
TestPerson1;-0,05;-0,06;25,49874
TestPerson1;-0,05;-0,06;26,00853
TestPerson1;-0,05;-0,06;26,51196
TestPerson1;-0,05;-0,06;27,0405
TestPerson1;-0,06;-0,06;27,55801
TestPerson1;-0,05;-0,06;28,05817
TestPerson1;-0,06;-0,06;28,57351
TestPerson1;-0,06;-0,06;29,07611
TestPerson1;-0,06;-0,06;29,5931
TestPerson1;-0,06;-0,06;30,09405
TestPerson1;-0,06;-0,06;30,59475
TestPerson1;-0,06;-0,06;31,1126
TestPerson1;-0,06;-0,05;31,62386
TestPerson1;0;0;32,1942
