Name, PositionX, PositionY, RunTime
TestPerson1;-0,05;-0,05;0,5018613
TestPerson1;-0,05;-0,05;1,002568
TestPerson1;-0,05;-0,05;1,503715
TestPerson1;-0,04;-0,04;2,015103
TestPerson1;-0,04;-0,03;2,515112
TestPerson1;-0,04;-0,03;3,029574
TestPerson1;-0,04;-0,02;3,544845
TestPerson1;-0,04;-0,02;4,054605
TestPerson1;-0,04;-0,02;4,572886
TestPerson1;-0,04;-0,02;5,078607
TestPerson1;-0,04;-0,03;5,581249
TestPerson1;-0,04;-0,03;6,09481
TestPerson1;-0,04;-0,03;6,596464
TestPerson1;-0,05;-0,03;7,098876
TestPerson1;-0,05;-0,03;7,599129
TestPerson1;-0,05;-0,04;8,101162
TestPerson1;-0,04;-0,04;8,616951
TestPerson1;-0,05;-0,05;9,118037
TestPerson1;-0,05;-0,05;9,624312
TestPerson1;-0,05;-0,05;10,1308
TestPerson1;-0,05;-0,05;10,63519
TestPerson1;-0,05;-0,05;11,13751
TestPerson1;-0,05;-0,05;11,63935
TestPerson1;-0,05;-0,06;12,15205
TestPerson1;-0,05;-0,06;12,65633
TestPerson1;-0,05;-0,06;13,157
TestPerson1;-0,05;-0,06;13,6702
TestPerson1;-0,05;-0,06;14,18301
TestPerson1;-0,05;-0,06;14,68649
TestPerson1;-0,05;-0,06;15,20083
TestPerson1;-0,05;-0,05;15,70473
TestPerson1;-0,05;-0,05;16,20649
TestPerson1;-0,06;-0,05;16,71208
TestPerson1;-0,06;-0,05;17,22327
TestPerson1;-0,06;-0,05;17,72696
TestPerson1;-0,06;-0,05;18,22888
TestPerson1;-0,05;-0,06;18,73256
TestPerson1;-0,05;-0,06;19,24591
TestPerson1;-0,05;-0,06;19,74653
TestPerson1;-0,05;-0,06;20,25936
TestPerson1;-0,05;-0,06;20,75961
TestPerson1;-0,05;-0,06;21,26088
TestPerson1;-0,05;-0,06;21,7637
TestPerson1;-0,06;-0,06;22,26538
TestPerson1;-0,06;-0,06;22,76831
TestPerson1;-0,06;-0,06;23,27034
TestPerson1;-0,06;-0,06;23,78482
TestPerson1;-0,06;-0,06;24,28661
TestPerson1;-0,06;-0,06;24,78753
TestPerson1;-0,06;-0,06;25,28809
TestPerson1;-0,05;-0,05;25,78894
TestPerson1;-0,05;-0,06;26,29123
TestPerson1;-0,05;-0,06;26,80552
TestPerson1;-0,05;-0,06;27,32004
TestPerson1;-0,05;-0,06;27,83266
TestPerson1;-0,05;-0,06;28,33389
TestPerson1;-0,05;-0,06;28,83617
TestPerson1;-0,06;-0,06;29,33973
TestPerson1;-0,06;-0,06;29,85141
TestPerson1;-0,06;-0,06;30,3637
TestPerson1;-0,06;-0,06;30,87836
TestPerson1;-0,06;-0,06;31,39131
TestPerson1;-0,06;-0,06;31,8941
TestPerson1;-0,06;-0,06;32,40811
TestPerson1;-0,06;-0,06;32,90942
TestPerson1;-0,05;-0,06;33,41026
TestPerson1;-0,05;-0,06;33,92478
TestPerson1;-0,05;-0,06;34,42482
TestPerson1;-0,05;-0,06;34,92821
TestPerson1;-0,05;-0,06;35,43246
TestPerson1;-0,05;-0,06;35,9334
TestPerson1;-0,06;-0,06;36,4378
TestPerson1;-0,06;-0,05;36,94509
TestPerson1;-0,06;-0,06;37,44754
TestPerson1;-0,06;-0,06;37,97095
TestPerson1;-0,06;-0,06;38,48157
TestPerson1;-0,06;-0,06;38,9953
TestPerson1;-0,06;-0,06;39,49739
TestPerson1;-0,06;-0,06;40,00912
TestPerson1;-0,06;-0,06;40,5103
TestPerson1;-0,06;-0,06;41,01587
TestPerson1;-0,06;-0,05;41,52576
TestPerson1;-0,06;-0,06;42,0282
TestPerson1;-0,06;-0,06;42,52992
TestPerson1;-0,06;-0,06;43,03194
TestPerson1;-0,05;-0,06;43,53291
TestPerson1;-0,05;-0,06;44,03483
TestPerson1;-0,05;-0,06;44,5485
TestPerson1;-0,05;-0,06;45,04926
TestPerson1;-0,06;-0,05;45,54965
TestPerson1;-0,06;-0,05;46,05072
TestPerson1;-0,06;-0,04;46,55429
TestPerson1;-0,05;-0,04;47,0643
TestPerson1;-0,05;-0,04;47,57296
TestPerson1;-0,05;-0,04;48,0863
TestPerson1;-0,05;-0,05;48,58916
TestPerson1;-0,05;-0,05;49,09043
TestPerson1;-0,05;-0,05;49,59515
TestPerson1;-0,05;-0,05;50,09617
TestPerson1;-0,05;-0,05;50,59722
TestPerson1;-0,06;-0,05;51,09784
TestPerson1;-0,06;-0,05;51,59983
TestPerson1;-0,06;-0,05;52,1218
TestPerson1;-0,05;-0,05;52,62563
TestPerson1;-0,05;-0,05;53,12666
TestPerson1;-0,05;-0,06;53,6271
TestPerson1;-0,05;-0,06;54,13876
TestPerson1;-0,05;-0,06;54,65282
TestPerson1;-0,05;-0,06;55,16375
TestPerson1;-0,05;-0,06;55,67423
TestPerson1;-0,05;-0,05;56,18795
TestPerson1;-0,05;-0,05;56,68868
TestPerson1;-0,05;-0,05;57,18877
TestPerson1;-0,05;-0,05;57,70343
TestPerson1;-0,05;-0,05;58,20478
TestPerson1;-0,05;-0,05;58,71347
TestPerson1;-0,05;-0,05;59,22446
TestPerson1;-0,05;-0,05;59,7377
TestPerson1;-0,05;-0,05;60,23862
TestPerson1;-0,05;-0,05;60,74189
TestPerson1;-0,05;-0,05;61,2439
TestPerson1;-0,06;-0,05;61,75375
TestPerson1;-0,06;-0,05;62,27285
TestPerson1;-0,05;-0,05;62,77645
TestPerson1;-0,05;-0,05;63,29037
TestPerson1;-0,05;-0,05;63,79256
TestPerson1;-0,05;-0,05;64,30463
TestPerson1;-0,05;-0,05;64,82336
TestPerson1;-0,05;-0,05;65,33424
TestPerson1;-0,05;-0,05;65,83559
TestPerson1;-0,05;-0,05;66,3384
TestPerson1;-0,05;-0,05;66,8588
TestPerson1;-0,05;-0,05;67,37118
TestPerson1;-0,05;-0,05;67,8844
TestPerson1;-0,05;-0,05;68,40441
TestPerson1;-0,05;-0,05;68,91366
TestPerson1;-0,05;-0,05;69,43954
TestPerson1;-0,05;-0,05;69,95167
TestPerson1;-0,05;-0,05;70,45723
TestPerson1;-0,05;-0,05;70,95937
TestPerson1;-0,05;-0,05;71,46116
TestPerson1;-0,05;-0,05;71,98042
TestPerson1;-0,05;-0,05;72,49329
TestPerson1;-0,05;-0,05;73,01052
TestPerson1;-0,05;-0,05;73,52277
TestPerson1;-0,05;-0,05;74,02841
TestPerson1;-0,05;-0,05;74,54027
TestPerson1;-0,05;-0,05;75,04916
TestPerson1;-0,05;-0,05;75,56691
TestPerson1;-0,05;-0,05;76,08274
TestPerson1;-0,05;-0,05;76,58482
TestPerson1;-0,05;-0,04;77,09824
TestPerson1;-0,05;-0,05;77,60233
TestPerson1;-0,05;-0,05;78,12012
TestPerson1;-0,05;-0,05;78,64
TestPerson1;-0,05;-0,05;79,15045
TestPerson1;-0,05;-0,05;79,66513
TestPerson1;-0,05;-0,05;80,17882
TestPerson1;0;0;81,00159
