Name, PositionX, PositionY, RunTime
TestPerson1;-0,11;0,04;0,5071431
TestPerson1;-0,09999999;0,04;1,021557
TestPerson1;-0,11;0,04;1,532134
TestPerson1;-0,12;0,05;2,044841
TestPerson1;-0,13;0,04;2,549245
TestPerson1;-0,12;0,04;3,059935
TestPerson1;-0,11;0,03;3,576414
TestPerson1;-0,09999999;0,02;4,086256
TestPerson1;-0,08;0,04;4,589475
TestPerson1;-0,08;0,03;5,102633
TestPerson1;-0,08;0,03;5,616254
TestPerson1;-0,08;0,04;6,128311
TestPerson1;-0,08;0,04;6,631537
TestPerson1;-0,09999999;0,04;7,145134
TestPerson1;-0,12;0,03;7,673993
TestPerson1;-0,12;0,05;8,198802
TestPerson1;-0,12;0,04;8,709973
TestPerson1;-0,12;0,02;9,247785
