Name, PositionX, PositionY, RunTime
TestPerson1;-0,12;0,04;0,5000063
TestPerson1;-0,11;0,04;1,01367
TestPerson1;-0,12;0,04;1,526816
TestPerson1;-0,13;0,04;2,030401
TestPerson1;-0,12;0,04;2,539998
TestPerson1;-0,11;0,03;3,056165
TestPerson1;-0,09999999;0,03;3,568794
TestPerson1;-0,09;0,04;4,068913
TestPerson1;-0,07;0,03;4,570759
TestPerson1;-0,07;0,02;5,078216
TestPerson1;-0,08;0,02;5,594758
TestPerson1;-0,09999999;0,03;6,097111
TestPerson1;-0,11;0,03;6,612385
TestPerson1;-0,11;0,02;7,135875
TestPerson1;-0,08;0,04;7,63797
TestPerson1;-0,04;0,03;8,14005
TestPerson1;-0,02;0,03;8,652688
TestPerson1;-0,01;0,04;9,166917
TestPerson1;-0,01;0,03;9,677958
